RFC_No, Size,   Download_Time
Peer2
8243,   66920,  4
8172,   35594,  16
8236,   36098,  0
8245,   66723,  15
8251,   23578,  0
8211,   64041,  0
8247,   44739,  16
8264,   105505, 16
8244,   59995,  0
8238,   39128,  0
8213,   17657,  16
8257,   37357,  0
8277,   56512,  0
8222,   28735,  0
8248,   47698,  0
8258,   14436,  0
8187,   28110,  0
8227,   128880, 0
8241,   44786,  0
8265,   62516,  13
8249,   32423,  0
8269,   39285,  15
8193,   124022, 16
8231,   128096, 8
8216,   127281, 3
8233,   62742,  0
8230,   21655,  5
8214,   34563,  0
8250,   65231,  0
8229,   56294,  0
8252,   49680,  0
8210,   78467,  15
8191,   20719,  15
8206,   36491,  15
8235,   27481,  15
8205,   115900, 0
8215,   14846,  0
8219,   66085,  0
8232,   56167,  4
8239,   39066,  16
8223,   41798,  16
8242,   25641,  16
8208,   35568,  16
8218,   56286,  16
8254,   18618,  0
8234,   16898,  16
8255,   36982,  22
8127,   25152,  15
8207,   21086,  0
8209,   29355,  0
8220,   88663,  15
8194,   102091, 22
8204,   49933,  16
8228,   50900,  15
8266,   27599,  0
8217,   12829,  0
8221,   33610,  0
8246,   10969,  0
8253,   56767,  16
8240,   62562,  16
Cumulative,	,	544

Peer3
8243,   66920,  0
8172,   35594,  0
8236,   36098,  4
8245,   66723,  0
8251,   23578,  4
8211,   64041,  16
8247,   44739,  21
8264,   105505, 15
8244,   59995,  16
8238,   39128,  8
8213,   17657,  0
8257,   37357,  0
8277,   56512,  0
8222,   28735,  0
8248,   47698,  4
8258,   14436,  0
8187,   28110,  16
8227,   128880, 0
8241,   44786,  0
8265,   62516,  18
8249,   32423,  8
8269,   39285,  4
8193,   124022, 16
8231,   128096, 0
8216,   127281, 20
8233,   62742,  4
8230,   21655,  16
8214,   34563,  15
8250,   65231,  8
8229,   56294,  0
8252,   49680,  0
8210,   78467,  0
8191,   20719,  0
8206,   36491,  0
8235,   27481,  4
8205,   115900, 8
8215,   14846,  0
8219,   66085,  16
8232,   56167,  21
8239,   39066,  0
8223,   41798,  16
8242,   25641,  0
8208,   35568,  0
8218,   56286,  0
8254,   18618,  0
8234,   16898,  4
8255,   36982,  0
8127,   25152,  0
8207,   21086,  15
8209,   29355,  16
8220,   88663,  0
8194,   102091, 11
8204,   49933,  6
8228,   50900,  15
8266,   27599,  6
8217,   12829,  5
8221,   33610,  15
8246,   10969,  0
8253,   56767,  15
8240,   62562,  16
Cumulative,     ,       470

Peer4
8243,   66920,  0
8172,   35594,  12
8236,   36098,  16
8245,   66723,  0
8251,   23578,  0
8211,   64041,  4
8247,   44739,  0
8264,   105505, 16
8244,   59995,  16
8238,   39128,  0
8213,   17657,  0
8257,   37357,  4
8277,   56512,  15
8222,   28735,  0
8248,   47698,  16
8258,   14436,  0
8187,   28110,  4
8227,   128880, 16
8241,   44786,  18
8265,   62516,  0
8249,   32423,  0
8269,   39285,  0
8193,   124022, 12
8231,   128096, 0
8216,   127281, 16
8233,   62742,  15
8230,   21655,  16
8214,   34563,  0
8250,   65231,  15
8229,   56294,  0
8252,   49680,  16
8210,   78467,  23
8191,   20719,  8
8206,   36491,  0
8235,   27481,  0
8205,   115900, 8
8215,   14846,  16
8219,   66085,  8
8232,   56167,  16
8239,   39066,  16
8223,   41798,  15
8242,   25641,  2
8208,   35568,  0
8218,   56286,  4
8254,   18618,  7
8234,   16898,  0
8255,   36982,  4
8127,   25152,  0
8207,   21086,  0
8209,   29355,  0
8220,   88663,  8
8194,   102091, 12
8204,   49933,  8
8228,   50900,  3
8266,   27599,  16
8217,   12829,  4
8221,   33610,  0
8246,   10969,  15
8253,   56767,  9
8240,   62562,  0
Cumulative,     ,       480

Peer5
8243,   66920,  0
8172,   35594,  16
8236,   36098,  0
8245,   66723,  0
8251,   23578,  0
8211,   64041,  16
8247,   44739,  0
8264,   105505, 15
8244,   59995,  15
8238,   39128,  16
8213,   17657,  0
8257,   37357,  0
8277,   56512,  21
8222,   28735,  0
8248,   47698,  15
8258,   14436,  0
8187,   28110,  0
8227,   128880, 16
8241,   44786,  0
8265,   62516,  16
8249,   32423,  4
8269,   39285,  0
8193,   124022, 0
8231,   128096, 0
8216,   127281, 0
8233,   62742,  0
8230,   21655,  16
8214,   34563,  0
8250,   65231,  0
8229,   56294,  0
8252,   49680,  16
8210,   78467,  0
8191,   20719,  15
8206,   36491,  0
8235,   27481,  0
8205,   115900, 3
8215,   14846,  16
8219,   66085,  6
8232,   56167,  15
8239,   39066,  0
8223,   41798,  0
8242,   25641,  16
8208,   35568,  0
8218,   56286,  10
8254,   18618,  0
8234,   16898,  4
8255,   36982,  0
8127,   25152,  15
8207,   21086,  21
8209,   29355,  0
8220,   88663,  9
8194,   102091, 0
8204,   49933,  17
8228,   50900,  15
8266,   27599,  0
8217,   12829,  15
8221,   33610,  8
8246,   10969,  16
8253,   56767,  15
8240,   62562,  16
Cumulative,     ,       484

Peer6
8243,   66920,  4
8172,   35594,  1
8236,   36098,  0
8245,   66723,  16
8251,   23578,  16
8211,   64041,  16
8247,   44739,  15
8264,   105505, 15
8244,   59995,  0
8238,   39128,  20
8213,   17657,  0
8257,   37357,  0
8277,   56512,  0
8222,   28735,  0
8248,   47698,  0
8258,   14436,  0
8187,   28110,  0
8227,   128880, 0
8241,   44786,  8
8265,   62516,  16
8249,   32423,  16
8269,   39285,  0
8193,   124022, 15
8231,   128096, 0
8216,   127281, 15
8233,   62742,  0
8230,   21655,  16
8214,   34563,  16
8250,   65231,  0
8229,   56294,  0
8252,   49680,  6
8210,   78467,  0
8191,   20719,  0
8206,   36491,  8
8235,   27481,  0
8205,   115900, 24
8215,   14846,  0
8219,   66085,  0
8232,   56167,  16
8239,   39066,  7
8223,   41798,  6
8242,   25641,  4
8208,   35568,  6
8218,   56286,  0
8254,   18618,  1
8234,   16898,  15
8255,   36982,  5
8127,   25152,  0
8207,   21086,  10
8209,   29355,  3
8220,   88663,  15
8194,   102091, 16
8204,   49933,  0
8228,   50900,  15
8266,   27599,  0
8217,   12829,  0
8221,   33610,  0
8246,   10969,  0
8253,   56767,  7
8240,   62562,  7
Cumulative,     ,       473
