RFC_No, Size,   Download_Time
Peer1
8243,   66920,  16
8236,   36098,  22
8245,   66723,  16
8251,   23578,  15
8211,   64041,  0
8247,   44739,  21
8264,   105505, 5
8244,   59995,  15
8238,   39128,  0
8213,   17657,  18
8257,   37357,  0
8277,   56512,  0
8222,   28735,  0
8248,   47698,  0
8258,   14436,  17
8227,   128880, 3
8241,   44786,  16
8265,   62516,  24
8249,   32423,  0
8269,   39285,  4
8231,   128096, 0
8216,   127281, 16
8233,   62742,  16
8230,   21655,  16
8214,   34563,  7
8250,   65231,  0
8229,   56294,  0
8252,   49680,  0
8210,   78467,  0
8235,   27481,  0
8215,   14846,  2
8219,   66085,  16
8232,   56167,  31
8239,   39066,  15
8223,   41798,  18
8242,   25641,  0
8208,   35568,  19
8218,   56286,  8
8254,   18618,  16
8234,   16898,  0
8255,   36982,  15
8209,   29355,  12
8220,   88663,  16
8228,   50900,  16
8266,   27599,  8
8217,   12829,  4
8221,   33610,  15
8246,   10969,  0
8253,   56767,  16
8240,   62562,  0
Cumulative,     ,       516

Peer2
8243,   66920,  9
8172,   35594,  13
8236,   36098,  0
8245,   66723,  15
8251,   23578,  0
8247,   44739,  0
8264,   105505, 15
8244,   59995,  0
8238,   39128,  0
8257,   37357,  4
8277,   56512,  16
8222,   28735,  16
8248,   47698,  0
8258,   14436,  0
8187,   28110,  7
8227,   128880, 16
8241,   44786,  8
8265,   62516,  0
8249,   32423,  0
8269,   39285,  2
8193,   124022, 16
8231,   128096, 16
8233,   62742,  0
8230,   21655,  0
8250,   65231,  0
8229,   56294,  15
8252,   49680,  25
8191,   20719,  0
8206,   36491,  0
8235,   27481,  21
8205,   115900, 15
8219,   66085,  0
8232,   56167,  16
8239,   39066,  16
8223,   41798,  0
8242,   25641,  4
8254,   18618,  4
8234,   16898,  0
8255,   36982,  8
8127,   25152,  8
8207,   21086,  16
8220,   88663,  21
8194,   102091, 16
8204,   49933,  16
8228,   50900,  0
8266,   27599,  18
8221,   33610,  0
8246,   10969,  0
8253,   56767,  8
8240,   62562,  8
Cumulative,     ,       450

Peer3
8243,   66920,  0
8172,   35594,  0
8236,   36098,  0
8245,   66723,  5
8251,   23578,  0
8211,   64041,  20
8247,   44739,  4
8264,   105505, 8
8244,   59995,  19
8238,   39128,  15
8213,   17657,  4
8257,   37357,  0
8277,   56512,  0
8248,   47698,  8
8258,   14436,  20
8187,   28110,  16
8241,   44786,  0
8265,   62516,  0
8249,   32423,  0
8269,   39285,  0
8193,   124022, 21
8216,   127281, 13
8233,   62742,  0
8214,   34563,  8
8250,   65231,  16
8252,   49680,  0
8210,   78467,  0
8191,   20719,  0
8206,   36491,  15
8235,   27481,  16
8205,   115900, 0
8215,   14846,  4
8232,   56167,  16
8239,   39066,  0
8242,   25641,  16
8208,   35568,  0
8218,   56286,  0
8254,   18618,  0
8234,   16898,  0
8255,   36982,  15
8127,   25152,  0
8207,   21086,  0
8209,   29355,  16
8194,   102091, 0
8204,   49933,  16
8266,   27599,  16
8217,   12829,  3
8246,   10969,  4
8253,   56767,  0
8240,   62562,  16
Cumulative,     ,       385

Peer4
8243,   66920,  8
8172,   35594,  17
8245,   66723,  4
8251,   23578,  0
8211,   64041,  16
8247,   44739,  16
8264,   105505, 4
8244,   59995,  8
8213,   17657,  0
8257,   37357,  4
8277,   56512,  0
8222,   28735,  0
8248,   47698,  0
8258,   14436,  4
8187,   28110,  6
8227,   128880, 16
8265,   62516,  0
8249,   32423,  0
8269,   39285,  16
8193,   124022, 12
8231,   128096, 16
8216,   127281, 0
8230,   21655,  4
8214,   34563,  0
8250,   65231,  0
8229,   56294,  16
8252,   49680,  6
8210,   78467,  0
8191,   20719,  2
8206,   36491,  0
8205,   115900, 16
8215,   14846,  0
8219,   66085,  16
8223,   41798,  0
8208,   35568,  0
8218,   56286,  0
8254,   18618,  0
8255,   36982,  16
8127,   25152,  15
8207,   21086,  16
8209,   29355,  15
8220,   88663,  15
8194,   102091, 8
8204,   49933,  0
8228,   50900,  0
8266,   27599,  0
8217,   12829,  0
8221,   33610,  0
8246,   10969,  0
8253,   56767,  3
Cumulative,     ,       410

Peer5
8172,   35594,  15
8236,   36098,  0
8211,   64041,  16
8264,   105505, 0
8238,   39128,  15
8213,   17657,  4
